"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"347",14,"Bryce Lance",NO,"WR124","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-39"
"348",14,"Michael Carter",TEN,"RB103","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+3"
"349",14,"Dallas Cowboys",DAL,"DST23","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-85"
"350",14,"Xavier Hutchinson",HOU,"WR125","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-1"
"351",14,"Eli Heidenreich",PIT,"RB104","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-98"
"352",14,"DeMario Douglas",NE,"WR126","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+24"
"353",14,"Justin Fields",KC,"QB39","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-98"
"354",14,"Ja'Tavion Sanders",CAR,"TE44","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-54"
"355",14,"Carson Beck",ARI,"QB40","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-53"
"356",14,"Michael Mayer",LV,"TE45","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-74"
"357",14,"Anthony Richardson Sr.",IND,"QB41","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+29"
"358",14,"Kendrick Bourne",ARI,"WR127","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-33"
"359",14,"Dawson Knox",BUF,"TE46","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-53"
"360",14,"Brenen Thompson",LAC,"WR128","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-56"
"361",14,"Nick Chubb",FA,"RB105","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"362",14,"John Metchie III",CAR,"WR129","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-45"
"363",14,"Cole Kmet",CHI,"TE47","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+46"
"364",14,"Justin Joly",DEN,"TE48","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+17"
"365",14,"Tennessee Titans",TEN,"DST24","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-84"
"366",14,"Jaylin Lane",WAS,"WR130","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"367",14,"Austin Ekeler",FA,"RB106","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-10"
"368",14,"Nick Folk",ATL,"K19","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"369",14,"Raheim Sanders",CLE,"RB107","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"370",14,"Jawhar Jordan",HOU,"RB108","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-43"
"371",14,"Zane Gonzalez",MIA,"K20","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"372",14,"Kalif Raymond",CHI,"WR131","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-18"
"373",14,"KaVontae Turpin",DAL,"WR132","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-82"
